country_code,year,energy_per_capita_forecast,population_total,is_forecast,total_energy_forecast_twh
IND,2025,7474.165333588898,1463865527.0,True,10941.172974939242
IND,2026,7682.24138683654,1476625571.0,True,11343.794074397338
IND,2027,7886.83372340247,1489164674.0,True,11744.794170602845
IND,2028,8088.215479181327,1501432743.0,True,12143.911552882279
IND,2029,8285.479582135946,1513423731.0,True,12539.441422320504
IND,2030,8475.426674664934,1525138848.0,True,12926.202474906948
IND,2031,8660.77500871931,1536540600.0,True,13307.632428362575
IND,2032,8846.263296546193,1547607119.0,True,13690.540054283296
IND,2033,9027.624645528667,1558324083.0,True,14067.96489741166
IND,2034,9205.014724068813,1568688350.0,True,14439.799359225211
IND,2035,9379.87815332408,1578694794.0,True,14807.964809007059
IDN,2025,8751.194773037325,285721230.0,True,2500.4021345217952
IDN,2026,8872.042079638353,287886782.0,True,2554.1436440756734
IDN,2027,8992.3964643264,289986523.0,True,2607.673784127506
IDN,2028,9112.434790604064,292016776.0,True,2660.9838290624334
IDN,2029,9233.310133710569,293978110.0,True,2714.3910621520804
IDN,2030,9355.463882630836,295876644.0,True,2768.063256656022
IDN,2031,9478.695474137336,297719745.0,True,2821.9947994928216
IDN,2032,9602.956860699547,299510654.0,True,2876.187889681908
IDN,2033,9728.309635541931,301250978.0,True,2930.66279199383
IDN,2034,9854.619596547243,302938575.0,True,2985.3444177450965
IDN,2035,9981.47671025856,304566618.0,True,3040.0246042892154
